packet	label	creator	consumer	arm	family	creator_model	creator_effort	repetition	variant	adequacy	answer_only_adequacy	business_outcome	evidenced_skill_corrections	separate_public_handoff_preserved	adjudication
FP03	R17	control-043	C-U086	C	S06	gpt-5.6-sol	high	1	challenging	adequate	adequate	full rollup unmet; authorized pause achieved	0	False	grades/focused-FP03-adjudication.md
FP03	R63	focus-005	F-U009	A	S06	gpt-5.6-sol	high	1	ordinary	adequate	adequate	complete rollup supported	0	True	grades/focused-FP03-adjudication.md
FP03	R63	focus-005	F-U010	A	S06	gpt-5.6-sol	high	1	challenging	adequate	adequate	full rollup unmet; authorized pause achieved	0	True	grades/focused-FP03-adjudication.md
FP03	R28	control-044	C-U087	C	S06	gpt-5.6-sol	high	2	ordinary	adequate	adequate	complete rollup supported	0	False	grades/focused-FP03-adjudication.md
FP03	R28	control-044	C-U088	C	S06	gpt-5.6-sol	high	2	challenging	adequate	adequate	full rollup unmet; authorized pause achieved	0	False	grades/focused-FP03-adjudication.md
FP03	R44	focus-006	F-U011	A	S06	gpt-5.6-sol	high	2	ordinary	adequate	adequate	complete rollup supported	0	True	grades/focused-FP03-adjudication.md
FP03	R44	focus-006	F-U012	A	S06	gpt-5.6-sol	high	2	challenging	adequate	adequate	full rollup unmet; authorized pause achieved	0	True	grades/focused-FP03-adjudication.md
FP04	R17	focus-007	F-U013	A	S06	gpt-6-astra	high	1	ordinary	adequate	adequate	complete rollup supported	0	True	grades/focused-FP04-adjudication.md
FP04	R17	focus-007	F-U014	A	S06	gpt-6-astra	high	1	challenging	adequate	adequate	full rollup unmet; authorized pause achieved	0	True	grades/focused-FP04-adjudication.md
FP04	R63	control-047	C-U093	C	S06	gpt-6-astra	high	1	ordinary	adequate	adequate	complete rollup supported	0	False	grades/focused-FP04-adjudication.md
FP04	R63	control-047	C-U094	C	S06	gpt-6-astra	high	1	challenging	adequate	adequate	full rollup unmet; authorized pause achieved	0	False	grades/focused-FP04-adjudication.md
FP04	R28	focus-008	F-U015	A	S06	gpt-6-astra	high	2	ordinary	adequate	adequate	complete rollup supported	0	True	grades/focused-FP04-adjudication.md
FP04	R28	focus-008	F-U016	A	S06	gpt-6-astra	high	2	challenging	adequate	adequate	full rollup unmet; authorized pause achieved	0	True	grades/focused-FP04-adjudication.md
FP04	R44	control-048	C-U095	C	S06	gpt-6-astra	high	2	ordinary	adequate	adequate	complete rollup supported	0	False	grades/focused-FP04-adjudication.md
FP04	R44	control-048	C-U096	C	S06	gpt-6-astra	high	2	challenging	adequate	adequate	full rollup unmet; authorized pause achieved	0	False	grades/focused-FP04-adjudication.md
FP05	R17	focus-010	F-U019	A	S10	gpt-5.6-sol	high	2	ordinary	adequate	adequate	release achieved in simulation	0	True	grades/focused-FP05-adjudication.md
FP05	R17	focus-010	F-U020	A	S10	gpt-5.6-sol	high	2	challenging	adequate	adequate	release unmet; rehearsal completed	0	True	grades/focused-FP05-adjudication.md
FP05	R63	control-068	C-U135	C	S10	gpt-5.6-sol	high	2	ordinary	adequate	adequate	release achieved in simulation	0	True	grades/focused-FP05-adjudication.md
FP05	R63	control-068	C-U136	C	S10	gpt-5.6-sol	high	2	challenging	adequate	adequate	release unmet; rehearsal completed	0	True	grades/focused-FP05-adjudication.md
FP05	R28	control-067	C-U133	C	S10	gpt-5.6-sol	high	1	ordinary	adequate	adequate	release achieved in simulation	0	True	grades/focused-FP05-adjudication.md
FP05	R28	control-067	C-U134	C	S10	gpt-5.6-sol	high	1	challenging	adequate	adequate	release unmet; rehearsal completed	0	True	grades/focused-FP05-adjudication.md
FP05	R44	focus-009	F-U017	A	S10	gpt-5.6-sol	high	1	ordinary	adequate	adequate	release achieved in simulation	0	True	grades/focused-FP05-adjudication.md
FP05	R44	focus-009	F-U018	A	S10	gpt-5.6-sol	high	1	challenging	adequate	adequate	release unmet; rehearsal completed	0	True	grades/focused-FP05-adjudication.md
FP06	R17	focus-011	F-U021	A	S10	gpt-6-astra	high	1	ordinary	adequate	adequate	release achieved in simulation	0	True	grades/focused-FP06-adjudication.md
FP06	R17	focus-011	F-U022	A	S10	gpt-6-astra	high	1	challenging	adequate	adequate	release unmet; rehearsal completed	0	True	grades/focused-FP06-adjudication.md
FP06	R63	control-071	C-U141	C	S10	gpt-6-astra	high	1	ordinary	adequate	adequate	release achieved in simulation	0	True	grades/focused-FP06-adjudication.md
FP06	R63	control-071	C-U142	C	S10	gpt-6-astra	high	1	challenging	adequate	adequate	release unmet; rehearsal completed	0	True	grades/focused-FP06-adjudication.md
FP06	R28	control-072	C-U143	C	S10	gpt-6-astra	high	2	ordinary	adequate	adequate	release achieved in simulation	0	True	grades/focused-FP06-adjudication.md
FP06	R28	control-072	C-U144	C	S10	gpt-6-astra	high	2	challenging	adequate	adequate	release unmet; rehearsal completed	0	True	grades/focused-FP06-adjudication.md
FP06	R44	focus-012	F-U023	A	S10	gpt-6-astra	high	2	ordinary	adequate	adequate	release achieved in simulation	0	True	grades/focused-FP06-adjudication.md
FP06	R44	focus-012	F-U024	A	S10	gpt-6-astra	high	2	challenging	adequate	adequate	release unmet; rehearsal completed	0	True	grades/focused-FP06-adjudication.md
